"Player Name", "World", "Combat Level", "Time In MS",
Dodocation,350,32,1567800381527,
Burst Income,350,30,1567801126068,
J Helvetti,336,124,1567801218905,
Hello_PaPu,329,95,1567801263406,
THE CARONTE,324,113,1567801271423,
El Guasos,370,83,1567801278360,
Easy Skanker,333,107,1567801298746,
Nomedd,521,44,1567801324573,
Nomedd,328,45,1567801598733,
Mazzrow,513,124,1567801898522,
Mdizzle,519,125,1567801927010,
Mazzrow,524,124,1567801997989,
Decko on RS,358,52,1567802251276,
SinPKer123,355,53,1567802289945,
Decko on RS,358,52,1567802296603,
I Dare You,302,79,1567802351768,
SinPKer123,368,53,1567802369313,
basjeje,312,102,1567802430312,
Thaumar,444,116,1567803216720,
angeluchy-28,314,105,1567803642533,
Weed-Sexy,360,64,1567803901729,
X-Rios-X,362,111,1567803908411,
Lend1ng,395,79,1567804723660,
Mossiot,350,72,1567804733223,
Clue Pr0duct,514,120,1567804933789,
Clue Pr0duct,495,120,1567805068665,
rikbanana123,517,84,1567805130420,
pinkybauerfe,347,66,1567805544240,
rikbanana123,332,84,1567805554747,
p 0 o p 0 o,305,77,1567805561336,
Mossiot,362,72,1567805563262,
p 0 o p 0 o,464,77,1567805655933,
B A A S MAN,523,72,1567805700609,
B A A S MAN,494,72,1567805782361,
full of neon,466,60,1567805800822,
Decko on RS,354,52,1567805923580,
Decko on RS,351,52,1567805951795,
basjeje,351,102,1567805951799,
pann3k0ek,388,111,1567805994340,
el mono inco,302,53,1567806207022,
dayneris99,395,67,1567806271106,
Njeshi,464,126,1567806410257,
Enekissu,314,67,1567806444961,
Decko on RS,356,52,1567806484636,
Milanprox2,357,80,1567806571605,
Quorz,421,107,1567806667624,
Burst Income,354,36,1567806712878,
I TBed Sir,354,36,1567806713171,
hazioth,424,62,1567807044760,
Sir Trevin,522,89,1567807153835,
TheJocker1-0,494,92,1567807333383,
Burst Income,320,36,1567807338631,
stix 96,330,75,1567807511791,
Sir Trevin,464,89,1567807612692,
Jallen,351,99,1567807646334,
stix 96,320,75,1567807674551,
duluuu,360,61,1567807682995,
Sir Trevin,346,89,1567807762167,
stix 96,338,75,1567807798579,
Got wrong,390,121,1567807807061,
Xd Laikka,368,99,1567808115843,
stix 96,524,75,1567808256405,
l sniff glue,310,88,1567808643838,
muf slayer,389,92,1567808736316,
